Data e Hora,Uso CPU (%),Uso Memï¿½ria (%),Uso Disco (%)
2024-11-03 12:52:15,8.2,48.8,41.2
2024-11-03 12:52:17,1.9,48.8,41.2
2024-11-03 12:52:19,1.9,49.0,41.2
2024-11-03 12:52:21,2.2,49.0,41.2
2024-11-03 12:52:23,1.9,48.8,41.2
2024-11-03 12:52:28,7.3,48.8,41.2
2024-11-03 12:52:30,8.0,48.8,41.2
2024-11-03 12:52:32,4.7,48.7,41.2
2024-11-03 12:52:34,2.1,48.7,41.2
2024-11-03 12:52:36,2.4,48.7,41.2
2024-11-03 12:53:06,7.3,48.6,41.2
2024-11-03 12:53:08,2.1,48.6,41.2
2024-11-03 12:53:10,1.8,48.5,41.2
2024-11-03 12:53:12,2.9,48.5,41.2
2024-11-03 12:53:14,2.2,48.5,41.2
2024-11-03 12:54:11,4.5,48.5,41.2
2024-11-03 12:54:13,1.9,48.5,41.2
2024-11-03 12:54:15,2.0,48.5,41.2
2024-11-03 12:54:17,3.2,48.5,41.2
2024-11-03 12:54:19,2.3,48.5,41.2
2024-11-03 12:55:54,2.7,49.4,41.2
2024-11-03 12:55:56,3.1,49.4,41.2
2024-11-03 12:55:58,1.5,49.3,41.2
2024-11-03 12:56:00,3.2,49.2,41.2
2024-11-03 12:56:02,1.7,49.2,41.2
2024-11-03 12:57:42,16.3,50.0,41.2
2024-11-03 12:57:44,11.7,50.2,41.2
2024-11-03 12:57:46,6.5,50.0,41.2
2024-11-03 12:57:48,2.3,49.8,41.2
2024-11-03 12:57:50,2.8,49.9,41.2
